"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","715","13","17"
"1","716","13","17"
"1","717","14","17"
"1","718","14","17"
"1","719","14","17"
"1","720","13","18"
"1","721","13","18"
"1","722","13","17"
"1","723","13","17"
"1","724","13","17"
"1","725","13","17"
"1","726","13","18"
"1","727","13","17"
"1","728","13","17"
"1","729","13","17"
"1","730","13","18"
"1","731","13","18"
"1","732","13","18"
"1","733","13","18"
"1","734","13","18"
"1","735","13","18"
"1","736","13","18"
"1","737","13","18"
"1","738","13","18"
"1","739","14","18"
"1","740","14","18"
"1","741","14","18"
"1","742","13","18"
"1","743","13","17"
"1","744","13","17"
"1","745","13","17"
"1","746","14","17"
"1","747","14","18"
"1","748","14","18"
"1","749","14","18"
"1","750","14","17"
"1","751","14","17"
"1","752","14","17"
"1","753","14","17"
"1","754","14","17"
"1","755","14","17"
"1","756","14","17"
"1","757","14","17"
"1","758","14","17"
"1","759","14","17"
"1","760","14","17"
"1","761","14","17"
"1","762","14","17"
"1","763","14","17"
"1","764","14","17"
"1","765","14","17"
"1","766","14","17"
"1","767","14","17"
"1","768","14","17"
"1","769","14","18"
"1","770","14","18"
"1","771","14","18"
"1","772","14","18"
"1","773","14","18"
"1","774","14","18"
"1","775","14","18"
"1","776","14","18"
"1","777","14","18"
"1","778","14","18"
"1","779","14","18"
"1","780","14","18"
"1","781","14","18"
"1","782","14","18"
"1","783","14","18"
"1","784","14","18"
"1","785","14","18"
"1","786","14","18"
"1","787","14","18"
"1","788","14","18"
"1","789","14","18"
"1","790","14","18"
"1","791","14","19"
"1","792","14","18"
"1","793","14","18"
"1","794","14","18"
"1","795","15","18"
"1","796","15","18"
"1","797","15","18"
"1","798","15","18"
"1","799","15","18"
"1","800","15","18"
"1","801","15","18"
"1","802","15","18"
"1","803","15","18"
"1","804","15","18"
"1","805","15","18"
"1","806","15","18"
"1","807","15","17"
"1","808","15","18"
