"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 3 - caotico - random walk.nlogo"
"chaotic_walk"
"02/10/2025 20:53:00:300 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"1","929","15","14"
"1","930","15","14"
"1","931","15","14"
"1","932","15","14"
"1","933","15","14"
"1","934","15","14"
"1","935","15","14"
"1","936","15","14"
"1","937","15","14"
"1","938","15","14"
"1","939","15","14"
"1","940","15","13"
"1","941","15","13"
"1","942","15","14"
"1","943","15","14"
"1","944","15","14"
"1","945","15","14"
"1","946","15","14"
"1","947","15","14"
"1","948","15","14"
"1","949","15","14"
"1","950","15","14"
"1","951","15","14"
"1","952","15","14"
"1","953","15","14"
"1","954","15","14"
"1","955","15","14"
"1","956","15","14"
"1","957","16","14"
"1","958","16","14"
"1","959","16","14"
"1","960","16","14"
"1","961","16","14"
"1","962","16","14"
"1","963","16","14"
"1","964","16","14"
"1","965","16","14"
"1","966","16","14"
"1","967","16","14"
"1","968","16","14"
"1","969","15","14"
"1","970","15","14"
"1","971","15","14"
"1","972","15","14"
"1","973","15","14"
"1","974","15","14"
"1","975","15","14"
"1","976","15","14"
"1","977","15","14"
"1","978","15","14"
"1","979","15","14"
"1","980","15","14"
"1","981","15","14"
"1","982","15","14"
"1","983","15","14"
"1","984","16","14"
"1","985","15","15"
"1","986","15","15"
"1","987","16","15"
"1","988","15","15"
"1","989","15","15"
"1","990","15","15"
"1","991","15","15"
"1","992","16","15"
"1","993","15","15"
"1","994","15","15"
"1","995","15","15"
"1","996","15","15"
"1","997","15","15"
"1","998","16","15"
"1","999","16","15"
"1","1000","15","15"
"1","1001","16","15"
"1","1002","15","15"
"1","1003","15","15"
"1","1004","15","15"
"1","1005","15","15"
"1","1006","15","15"
"1","1007","15","15"
"1","1008","15","15"
"1","1009","15","15"
"1","1010","15","15"
"1","1011","15","15"
"1","1012","15","16"
"1","1013","15","15"
"1","1014","15","15"
"1","1015","15","15"
"1","1016","15","15"
"1","1017","15","15"
"1","1018","15","15"
"1","1019","16","15"
"1","1020","16","15"
"1","1021","16","15"
"1","1022","16","15"
"1","1023","16","15"
"1","1024","16","15"
"1","1025","16","15"
"1","1026","16","15"
"1","1027","16","16"
"1","1028","16","15"
"1","1029","16","15"
"1","1030","16","15"
"1","1031","16","15"
"1","1032","16","16"
"1","1033","16","16"
"1","1034","16","16"
"1","1035","16","16"
"1","1036","16","15"
"1","1037","16","15"
"1","1038","16","15"
"1","1039","15","15"
"1","1040","16","15"
"1","1041","16","15"
"1","1042","16","15"
"1","1043","16","15"
"1","1044","16","15"
"1","1045","16","16"
"1","1046","16","16"
"1","1047","16","16"
"1","1048","16","16"
"1","1049","16","16"
"1","1050","16","16"
"1","1051","16","15"
"1","1052","16","16"
"1","1053","16","15"
"1","1054","16","15"
"1","1055","16","15"
"1","1056","16","15"
"1","1057","16","15"
"1","1058","16","15"
"1","1059","16","15"
"1","1060","16","16"
"1","1061","16","16"
"1","1062","16","15"
"1","1063","16","15"
"1","1064","16","15"
"1","1065","16","15"
"1","1066","16","15"
"1","1067","16","15"
"1","1068","16","15"
"1","1069","16","15"
"1","1070","16","15"
"1","1071","16","15"
"1","1072","16","15"
"1","1073","16","15"
"1","1074","16","15"
"1","1075","16","15"
"1","1076","16","15"
"1","1077","16","15"
"1","1078","16","15"
"1","1079","16","15"
"1","1080","16","15"
"1","1081","16","15"
"1","1082","17","15"
"1","1083","16","15"
"1","1084","17","15"
"1","1085","17","15"
"1","1086","17","15"
"1","1087","17","16"
"1","1088","17","16"
"1","1089","17","16"
"1","1090","17","16"
"1","1091","17","16"
"1","1092","17","16"
"1","1093","17","16"
"1","1094","17","16"
"1","1095","17","16"
"1","1096","17","16"
"1","1097","17","16"
"1","1098","17","16"
"1","1099","17","16"
"1","1100","17","16"
"1","1101","17","16"
"1","1102","17","16"
"1","1103","17","16"
"1","1104","17","16"
"1","1105","17","16"
"1","1106","17","16"
"1","1107","17","16"
"1","1108","17","16"
"1","1109","17","16"
"1","1110","17","16"
"1","1111","17","16"
"1","1112","17","16"
"1","1113","17","16"
"1","1114","17","16"
"1","1115","17","16"
"1","1116","17","16"
"1","1117","17","16"
"1","1118","17","16"
"1","1119","17","16"
"1","1120","17","16"
"1","1121","16","16"
"1","1122","17","16"
"1","1123","17","16"
"1","1124","17","16"
"1","1125","17","16"
"1","1126","17","16"
"1","1127","17","16"
"1","1128","17","16"
"1","1129","17","15"
"1","1130","17","15"
"1","1131","17","15"
"1","1132","16","15"
"1","1133","16","15"
"1","1134","16","15"
"1","1135","16","15"
"1","1136","16","15"
"1","1137","16","15"
"1","1138","16","15"
"1","1139","16","15"
"1","1140","16","15"
"1","1141","16","15"
"1","1142","16","15"
"1","1143","16","15"
"1","1144","16","15"
"1","1145","16","15"
"1","1146","16","15"
"1","1147","16","15"
"1","1148","16","15"
"1","1149","16","15"
"1","1150","16","15"
"1","1151","16","15"
"1","1152","16","15"
"1","1153","16","15"
"1","1154","16","15"
"1","1155","16","15"
"1","1156","16","15"
"1","1157","16","15"
"1","1158","16","15"
"1","1159","16","15"
"1","1160","16","15"
"1","1161","16","15"
"1","1162","16","15"
"1","1163","16","15"
"1","1164","16","15"
"1","1165","16","15"
"1","1166","16","16"
"1","1167","16","15"
"1","1168","16","16"
"1","1169","16","16"
"1","1170","16","15"
"1","1171","16","16"
"1","1172","16","16"
"1","1173","16","15"
"1","1174","16","15"
"1","1175","16","15"
"1","1176","16","15"
"1","1177","16","15"
"1","1178","16","15"
"1","1179","16","15"
"1","1180","16","15"
"1","1181","16","15"
"1","1182","16","15"
"1","1183","16","15"
"1","1184","16","15"
"1","1185","16","15"
"1","1186","16","16"
"1","1187","16","16"
"1","1188","16","15"
"1","1189","16","16"
"1","1190","16","16"
"1","1191","16","15"
"1","1192","16","15"
"1","1193","16","15"
"1","1194","16","15"
"1","1195","16","16"
"1","1196","16","16"
"1","1197","16","15"
"1","1198","16","16"
"1","1199","16","16"
"1","1200","16","16"
"1","1201","16","16"
"1","1202","16","15"
"1","1203","16","15"
"1","1204","16","15"
"1","1205","16","15"
"1","1206","16","15"
"1","1207","16","16"
"1","1208","16","16"
"1","1209","16","15"
"1","1210","16","15"
"1","1211","16","15"
"1","1212","16","15"
"1","1213","16","15"
"1","1214","16","15"
"1","1215","16","15"
"1","1216","16","15"
"1","1217","16","15"
"1","1218","16","15"
"1","1219","16","15"
"1","1220","16","15"
"1","1221","16","15"
"1","1222","16","15"
"1","1223","16","16"
"1","1224","16","15"
"1","1225","16","15"
"1","1226","16","15"
"1","1227","16","15"
"1","1228","16","15"
"1","1229","16","15"
"1","1230","16","15"
"1","1231","16","15"
"1","1232","16","15"
"1","1233","16","15"
"1","1234","16","15"
"1","1235","16","15"
"1","1236","16","15"
"1","1237","16","15"
"1","1238","16","15"
"1","1239","16","15"
"1","1240","16","15"
"1","1241","16","15"
"1","1242","16","15"
"1","1243","16","15"
"1","1244","16","15"
"1","1245","16","15"
"1","1246","16","14"
"1","1247","16","15"
"1","1248","16","15"
"1","1249","16","15"
"1","1250","16","15"
"1","1251","16","15"
"1","1252","16","15"
"1","1253","16","15"
"1","1254","16","15"
"1","1255","16","15"
"1","1256","16","15"
"1","1257","16","15"
"1","1258","16","15"
"1","1259","16","15"
"1","1260","16","15"
"1","1261","16","15"
"1","1262","16","15"
"1","1263","16","15"
"1","1264","16","15"
"1","1265","17","15"
"1","1266","17","15"
"1","1267","17","15"
"1","1268","17","15"
"1","1269","17","15"
"1","1270","17","15"
"1","1271","17","15"
"1","1272","17","15"
"1","1273","17","15"
"1","1274","17","15"
"1","1275","17","15"
"1","1276","17","15"
"1","1277","17","15"
"1","1278","17","15"
"1","1279","17","15"
"1","1280","17","15"
"1","1281","17","15"
"1","1282","17","15"
"1","1283","17","15"
"1","1284","17","15"
"1","1285","17","15"
"1","1286","17","15"
"1","1287","17","15"
"1","1288","17","15"
"1","1289","17","15"
"1","1290","17","15"
"1","1291","16","15"
"1","1292","17","15"
"1","1293","17","15"
"1","1294","17","15"
"1","1295","17","15"
"1","1296","17","15"
"1","1297","17","14"
"1","1298","17","15"
"1","1299","16","14"
"1","1300","17","14"
"1","1301","16","14"
"1","1302","16","14"
"1","1303","16","14"
"1","1304","17","14"
"1","1305","17","14"
"1","1306","17","14"
